statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Chomsky is a fiddler.,chomsky,fiddler,"linguist, linguistic scientist",0,0,1,0,0,instances,1,0,0
Rigel is not a theologian.,rigel,theologian,"binary, binary star, double star",1,1,1,0,0,instances,1,0,0
Hildebrand is not an anthropologist.,hildebrand,anthropologist,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",1,1,1,0,0,instances,0,1,0
Cathay is not an asian nation.,cathay,asian nation,"asian nation, asian country",0,1,1,0,0,instances,0,0,1
Klein is a balkan state.,klein,balkan state,"clothes designer, couturier, fashion designer, designer",0,0,1,0,0,instances,1,0,0
Thales is not a stargazer.,thales,stargazer,"astronomer, philosopher, stargazer, uranologist",0,1,1,0,0,instances,1,0,0
Chennai is not metropolis.,chennai,metropolis,"city, metropolis, urban center",0,1,1,0,0,instances,0,1,0
Macedon is a revolutionary.,macedon,revolutionary,"geographic region, geographic area, geographical area, geographical region",0,0,1,0,0,instances,1,0,0
Friedman is not a terpsichorean.,friedman,terpsichorean,"economic expert, economist",1,1,1,0,0,instances,0,0,1
Sydenham is not a nuclear physicist.,sydenham,nuclear physicist,"doc, doctor, dr., md, medico, physician",1,1,1,0,0,instances,1,0,0
Schweitzer is an evangelist.,schweitzer,evangelist,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",0,0,1,0,0,instances,1,0,0
Fawkes is not a coconspirator.,fawkes,coconspirator,"coconspirator, conspirator, machinator, plotter",0,1,1,0,0,instances,1,0,0
Hemingway is not a province.,hemingway,province,"author, writer",1,1,1,0,0,instances,1,0,0
Montpelier is not a king of great britain.,montpelier,king of great britain,state capital,1,1,1,0,0,instances,1,0,0
Gambia is an african nation.,gambia,african nation,"african country, african nation",1,0,1,0,0,instances,0,0,1
Schweitzer is a missionary.,schweitzer,missionary,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,0,1,0,0,instances,1,0,0
Jolson is not a vocalizer.,jolson,vocalizer,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",0,1,1,0,0,instances,1,0,0
Jena is a pitched battle.,jena,pitched battle,pitched battle,1,0,1,0,0,instances,0,1,0
Loyola is a theologizer.,loyola,theologizer,"theologian, theologiser, theologist, theologizer, saint",1,0,1,0,0,instances,1,0,0
Dix is not a missioner.,dix,missioner,"crusader, meliorist, reformer, reformist, social reformer",1,1,1,0,0,instances,1,0,0
Schweitzer is not a doc.,schweitzer,doc,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",0,1,1,0,0,instances,1,0,0
Mozambique is an african nation.,mozambique,african nation,"african country, african nation",1,0,1,0,0,instances,0,0,1
Fairbanks is a film maker.,fairbanks,film maker,"thespian, role player, histrion, actor, player",0,0,1,0,0,instances,1,0,0
Thales is a music director.,thales,music director,"astronomer, philosopher, stargazer, uranologist",0,0,1,0,0,instances,1,0,0
Toscanini is not a music director.,toscanini,music director,"conductor, director, music director",0,1,1,0,0,instances,0,0,1
Swaziland is a music critic.,swaziland,music critic,"african country, african nation",0,0,1,0,0,instances,0,1,0
Harrison is a philosopher.,harrison,philosopher,rock star,0,0,1,0,0,instances,0,1,0
Carolina is a geographical region.,carolina,geographical region,"geographical region, geographic region, geographic area, geographical area",1,0,1,0,0,instances,1,0,0
Lisbon is a port.,lisbon,port,"national capital, port",1,0,1,0,0,instances,1,0,0
TT is not a conspirator.,TT,conspirator,"country, state, land",1,1,1,0,0,instances,1,0,0
Fairbanks is not a missioner.,fairbanks,missioner,"thespian, role player, histrion, actor, player",1,1,1,0,0,instances,1,0,0
Jolson is not a journalist.,jolson,journalist,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",1,1,1,0,0,instances,1,0,0
Jolson is a scholarly person.,jolson,scholarly person,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",0,0,1,0,0,instances,1,0,0
Tyndale is a revolutionist.,tyndale,revolutionist,"interpreter, martyr, sufferer, translator",0,0,1,0,0,instances,1,0,0
Dix is a rock star.,dix,rock star,"crusader, meliorist, reformer, reformist, social reformer",0,0,1,0,0,instances,1,0,0
Redford is a bacteriologist.,redford,bacteriologist,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,0,1,0,0,instances,1,0,0
Barrie is not a playwright.,barrie,playwright,"dramatist, playwright",0,1,1,0,0,instances,0,0,1
Schweitzer is a doc.,schweitzer,doc,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,0,1,0,0,instances,1,0,0
Molokai is an island.,molokai,island,island,1,0,1,0,0,instances,0,0,1
Acheson is not a statesman.,acheson,statesman,"national leader, solon, statesman",0,1,1,0,0,instances,1,0,0
Loyola is a theologiser.,loyola,theologiser,"theologian, theologiser, theologist, theologizer, saint",1,0,1,0,0,instances,1,0,0
Gregory is not an actor.,gregory,actor,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",1,1,1,0,0,instances,1,0,0
Johnson is not a road agent.,johnson,road agent,"writer, lexicographer, lexicologist, author",1,1,1,0,0,instances,1,0,0
Redford is a histrion.,redford,histrion,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",1,0,1,0,0,instances,1,0,0
Libby is a chemist.,libby,chemist,chemist,1,0,1,0,0,instances,0,0,1
Nansen is not a film producer.,nansen,film producer,"adventurer, explorer, national leader, solon, statesman",1,1,1,0,0,instances,0,1,0
Jolson is not a geographical region.,jolson,geographical region,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",1,1,1,0,0,instances,1,0,0
Archean is an eon.,archean,eon,"aeon, eon",1,0,1,0,0,instances,1,0,0
Trotsky is not a pope.,trotsky,pope,"bolshevik, bolshevist, revolutionary, revolutionist, subversive, subverter",1,1,1,0,0,instances,1,0,0
Coppola is a roman deity.,coppola,roman deity,"film maker, film producer, filmmaker, movie maker",0,0,1,0,0,instances,0,0,1
Quechua is a community.,quechua,community,community,1,0,1,0,0,instances,1,0,0
Christopher is not a country.,christopher,country,patron saint,1,1,1,0,0,instances,1,0,0
Oaxaca is a catholic pope.,oaxaca,catholic pope,"city, metropolis, urban center",0,0,1,0,0,instances,1,0,0
Loyola is not a stargazer.,loyola,stargazer,"theologian, theologiser, theologist, theologizer, saint",1,1,1,0,0,instances,1,0,0
Klein is clothes designer.,klein,clothes designer,"clothes designer, couturier, fashion designer, designer",1,0,1,0,0,instances,1,0,0
Mann is not an educator.,mann,educator,"educator, pedagog, pedagogue",0,1,1,0,0,instances,1,0,0
Alger is not an architect.,alger,architect,"author, writer",1,1,1,0,0,instances,1,0,0
Freud is a brain doctor.,freud,brain doctor,"analyst, brain doctor, neurologist, psychoanalyst",1,0,1,0,0,instances,1,0,0
Ukraine is a state.,ukraine,state,"land, country, state",1,0,1,0,0,instances,1,0,0
Aquinas is a bookman.,aquinas,bookman,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",0,0,1,0,0,instances,1,0,0
Macedon is not a pedagog.,macedon,pedagog,"geographic region, geographic area, geographical area, geographical region",1,1,1,0,0,instances,1,0,0
Rigel is a double star.,rigel,double star,"binary, binary star, double star",1,0,1,0,0,instances,0,1,0
Dix is not a community.,dix,community,"crusader, meliorist, reformer, reformist, social reformer",1,1,1,0,0,instances,1,0,0
Thales is an asian country.,thales,asian country,"astronomer, philosopher, stargazer, uranologist",0,0,1,0,0,instances,1,0,0
Fawkes is not a filmmaker.,fawkes,filmmaker,"coconspirator, conspirator, machinator, plotter",1,1,1,0,0,instances,1,0,0
Dixieland is not a student.,dixieland,student,"geographic region, geographical area, geographical region, geographic area",1,1,1,0,0,instances,1,0,0
Toscanini is not a leader.,toscanini,leader,"conductor, director, music director",1,1,1,0,0,instances,1,0,0
Schweitzer is not a missioner.,schweitzer,missioner,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",0,1,1,0,0,instances,1,0,0
Serra is not a missioner.,serra,missioner,"missionary, missioner",0,1,1,0,0,instances,1,0,0
Fairbanks is not a fiddler.,fairbanks,fiddler,"thespian, role player, histrion, actor, player",1,1,1,0,0,instances,1,0,0
Jonson is an empire.,jonson,empire,"dramatist, playwright, poet",0,0,1,0,0,instances,0,1,0
Debs is not an african nation.,debs,african nation,"labor organizer, organiser, organizer",1,1,1,0,0,instances,1,0,0
Jolson is not a catholic pope.,jolson,catholic pope,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",1,1,1,0,0,instances,1,0,0
Bushnell is an inventor.,bushnell,inventor,"artificer, discoverer, inventor",1,0,1,0,0,instances,1,0,0
Kharkov is not metropolis.,kharkov,metropolis,"city, metropolis, urban center",0,1,1,0,0,instances,0,1,0
Grus is not a constellation.,grus,constellation,constellation,0,1,1,0,0,instances,1,0,0
Obama is a norn.,obama,norn,"chief executive, president, president of the united states, united states president",0,0,1,0,0,instances,0,0,1
Lazio is not a pedagogue.,lazio,pedagogue,italian region,1,1,1,0,0,instances,1,0,0
Seville is a violinist.,seville,violinist,"metropolis, city, port, urban center",0,0,1,0,0,instances,1,0,0
Spock is a pediatrist.,spock,pediatrist,"baby doctor, paediatrician, pediatrician, pediatrist",1,0,1,0,0,instances,1,0,0
Dixieland is not a geographic region.,dixieland,geographic region,"geographic region, geographical area, geographical region, geographic area",0,1,1,0,0,instances,1,0,0
Tati is not a film producer.,tati,film producer,"film maker, film producer, filmmaker, movie maker",0,1,1,0,0,instances,1,0,0
Sydenham is a dr..,sydenham,dr.,"doc, doctor, dr., md, medico, physician",1,0,1,0,0,instances,1,0,0
Johnson is not a writer.,johnson,writer,"writer, lexicographer, lexicologist, author",0,1,1,0,0,instances,0,0,1
Gregory is not a bookman.,gregory,bookman,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",1,1,1,0,0,instances,1,0,0
Matthew is not religious mystic.,matthew,religious mystic,"apostle, evangelist, saint",1,1,1,0,0,instances,1,0,0
Barrie is a playwright.,barrie,playwright,"dramatist, playwright",1,0,1,0,0,instances,0,0,1
Aquinas is a theologiser.,aquinas,theologiser,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",1,0,1,0,0,instances,1,0,0
Aquinas is a theologian.,aquinas,theologian,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",1,0,1,0,0,instances,1,0,0
Archean is not a showman.,archean,showman,"aeon, eon",1,1,1,0,0,instances,1,0,0
TT is not a country.,TT,country,"country, state, land",0,1,1,0,0,instances,1,0,0
Seville is a geographical region.,seville,geographical region,"metropolis, city, port, urban center",0,0,1,0,0,instances,1,0,0
Nansen is not an adventurer.,nansen,adventurer,"adventurer, explorer, national leader, solon, statesman",0,1,1,0,0,instances,0,1,0
Bushnell is an artificer.,bushnell,artificer,"artificer, discoverer, inventor",1,0,1,0,0,instances,1,0,0
Redford is an urban center.,redford,urban center,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,0,1,0,0,instances,1,0,0
Mann is not a catholic pope.,mann,catholic pope,"educator, pedagog, pedagogue",1,1,1,0,0,instances,1,0,0
Jonson is a poet.,jonson,poet,"dramatist, playwright, poet",1,0,1,0,0,instances,0,1,0
Gregory is a geographical area.,gregory,geographical area,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,0,1,0,0,instances,1,0,0
Grus is a constellation.,grus,constellation,constellation,1,0,1,0,0,instances,1,0,0
Hildebrand is not a thespian.,hildebrand,thespian,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",1,1,1,0,0,instances,0,1,0
Schweitzer is not a doctor.,schweitzer,doctor,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",0,1,1,0,0,instances,1,0,0
Ukraine is not a country.,ukraine,country,"land, country, state",0,1,1,0,0,instances,1,0,0
Loyola is not a theologist.,loyola,theologist,"theologian, theologiser, theologist, theologizer, saint",0,1,1,0,0,instances,1,0,0
Tyrol is not a writer.,tyrol,writer,"province, state",1,1,1,0,0,instances,0,0,1
Gregory is a catholic pope.,gregory,catholic pope,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",1,0,1,0,0,instances,1,0,0
Jolson is not a vocalist.,jolson,vocalist,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",0,1,1,0,0,instances,1,0,0
Coppola is not a settler.,coppola,settler,"film maker, film producer, filmmaker, movie maker",1,1,1,0,0,instances,1,0,0
Oldfield is a race driver.,oldfield,race driver,"automobile driver, race driver, racer",1,0,1,0,0,instances,1,0,0
Alger is an author.,alger,author,"author, writer",1,0,1,0,0,instances,1,0,0
Johor is not a pontiff.,johor,pontiff,malaysian state,1,1,1,0,0,instances,1,0,0
Redford is an impresario.,redford,impresario,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",0,0,1,0,0,instances,1,0,0
Mozambique is an african country.,mozambique,african country,"african country, african nation",1,0,1,0,0,instances,0,1,0
Mishnah is not a sacred writing.,mishnah,sacred writing,"religious text, religious writing, sacred text, sacred writing",0,1,1,0,0,instances,0,0,1
Herder is not a state.,herder,state,philosopher,1,1,1,0,0,instances,0,0,1
Seville is a port.,seville,port,"metropolis, city, port, urban center",1,0,1,0,0,instances,1,0,0
Toscanini is a music director.,toscanini,music director,"conductor, director, music director",1,0,1,0,0,instances,0,0,1
Mann is metropolis.,mann,metropolis,"educator, pedagog, pedagogue",0,0,1,0,0,instances,1,0,0
Tati is not a movie maker.,tati,movie maker,"film maker, film producer, filmmaker, movie maker",0,1,1,0,0,instances,1,0,0
Haifa is metropolis.,haifa,metropolis,"port, urban center, metropolis, city",1,0,1,0,0,instances,1,0,0
Loyola is not a theologiser.,loyola,theologiser,"theologian, theologiser, theologist, theologizer, saint",0,1,1,0,0,instances,1,0,0
Friedman is a formal garden.,friedman,formal garden,"economic expert, economist",0,0,1,0,0,instances,0,1,0
Richelieu is an executive.,richelieu,executive,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",0,0,1,0,0,instances,1,0,0
Coppola is not a film producer.,coppola,film producer,"film maker, film producer, filmmaker, movie maker",0,1,1,0,0,instances,1,0,0
Owens is not an athlete.,owens,athlete,"athlete, jock",0,1,1,0,0,instances,0,1,0
Graf is tennis player.,graf,tennis player,tennis player,1,0,1,0,0,instances,0,0,1
Willamette is a river.,willamette,river,river,1,0,1,0,0,instances,0,1,0
Tyrol is not a province.,tyrol,province,"province, state",0,1,1,0,0,instances,1,0,0
PRC is not an asian nation.,PRC,asian nation,"asian nation, asian country",0,1,1,0,0,instances,0,0,1
Lewis is an actor.,lewis,actor,"author, writer",0,0,1,0,0,instances,1,0,0
Klein is not a scholar.,klein,scholar,"clothes designer, couturier, fashion designer, designer",1,1,1,0,0,instances,1,0,0
Loyola is a state capital.,loyola,state capital,"theologian, theologiser, theologist, theologizer, saint",0,0,1,0,0,instances,1,0,0
Djibouti is fictitious character.,djibouti,fictitious character,"african nation, african country",0,0,1,0,0,instances,0,1,0
Lowlands is a lowland.,lowlands,lowland,lowland,1,0,1,0,0,instances,0,1,0
Schweitzer is an organist.,schweitzer,organist,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,0,1,0,0,instances,1,0,0
Sydenham is an old master.,sydenham,old master,"doc, doctor, dr., md, medico, physician",0,0,1,0,0,instances,1,0,0
Lithuania is not a geographic area.,lithuania,geographic area,"baltic state, baltic republic",1,1,1,0,0,instances,0,1,0
Carolina is not a geographical area.,carolina,geographical area,"geographical region, geographic region, geographic area, geographical area",0,1,1,0,0,instances,1,0,0
Richelieu is not a solon.,richelieu,solon,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",0,1,1,0,0,instances,1,0,0
TT is a civil rights activist.,TT,civil rights activist,"country, state, land",0,0,1,0,0,instances,1,0,0
Goodman is a clarinettist.,goodman,clarinettist,"bandleader, clarinetist, clarinettist",1,0,1,0,0,instances,1,0,0
Turpin is not an island.,turpin,island,"highjacker, highwayman, hijacker, road agent",1,1,1,0,0,instances,1,0,0
Richelieu is a geographic area.,richelieu,geographic area,"archpriest, hierarch, high priest, national leader, prelate, primate, solon, statesman",0,0,1,0,0,instances,1,0,0
Duncan is not a professional dancer.,duncan,professional dancer,"dancer, professional dancer, terpsichorean",0,1,1,0,0,instances,0,1,0
Jonson is a dramatist.,jonson,dramatist,"dramatist, playwright, poet",1,0,1,0,0,instances,0,1,0
Arabia is not a peninsula.,arabia,peninsula,peninsula,0,1,1,0,0,instances,1,0,0
Owens is not a revolutionary.,owens,revolutionary,"athlete, jock",1,1,1,0,0,instances,0,0,1
Turpin is not an emperor of rome.,turpin,emperor of rome,"highjacker, highwayman, hijacker, road agent",1,1,1,0,0,instances,1,0,0
Tarkovsky is not a film producer.,tarkovsky,film producer,"film maker, film producer, filmmaker, movie maker",0,1,1,0,0,instances,1,0,0
Schweitzer is a linguist.,schweitzer,linguist,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",0,0,1,0,0,instances,1,0,0
TT is a state.,TT,state,"country, state, land",1,0,1,0,0,instances,1,0,0
Monet is a central american nation.,monet,central american nation,painter,0,0,1,0,0,instances,1,0,0
Vitus is a writer.,vitus,writer,"martyr, saint",0,0,1,0,0,instances,1,0,0
Gambia is a museum.,gambia,museum,"african country, african nation",0,0,1,0,0,instances,0,0,1
Barrie is a technologist.,barrie,technologist,"dramatist, playwright",0,0,1,0,0,instances,0,0,1
Fawkes is a machinator.,fawkes,machinator,"coconspirator, conspirator, machinator, plotter",1,0,1,0,0,instances,0,0,1
Thales is not a president.,thales,president,"astronomer, philosopher, stargazer, uranologist",1,1,1,0,0,instances,1,0,0
Mandelstam is not a man of affairs.,mandelstam,man of affairs,poet,1,1,1,0,0,instances,0,0,1
Schweitzer is a doctor.,schweitzer,doctor,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,0,1,0,0,instances,1,0,0
Redford is not a nobleman.,redford,nobleman,"actor, film maker, film producer, filmmaker, histrion, movie maker, player, role player, thespian",1,1,1,0,0,instances,1,0,0
Aquinas is not a saint.,aquinas,saint,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",0,1,1,0,0,instances,1,0,0
Menuhin is not a museum.,menuhin,museum,"fiddler, violinist",1,1,1,0,0,instances,0,0,1
Marciano is a weird sister.,marciano,weird sister,"gladiator, prizefighter",0,0,1,0,0,instances,0,0,1
Campbell is a baby doctor.,campbell,baby doctor,mythologist,0,0,1,0,0,instances,0,1,0
Coppola is a filmmaker.,coppola,filmmaker,"film maker, film producer, filmmaker, movie maker",1,0,1,0,0,instances,1,0,0
Matthew is not an evangelist.,matthew,evangelist,"apostle, evangelist, saint",0,1,1,0,0,instances,1,0,0
Hildebrand is a mythologist.,hildebrand,mythologist,"bishop of rome, catholic pope, holy father, pontiff, pope, roman catholic pope, vicar of christ",0,0,1,0,0,instances,0,1,0
Mozambique is not an african nation.,mozambique,african nation,"african country, african nation",0,1,1,0,0,instances,0,0,1
Gregory is not a holy father.,gregory,holy father,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,1,1,0,0,instances,1,0,0
Haifa is a meliorist.,haifa,meliorist,"port, urban center, metropolis, city",0,0,1,0,0,instances,1,0,0
Coppola is a film maker.,coppola,film maker,"film maker, film producer, filmmaker, movie maker",1,0,1,0,0,instances,1,0,0
Shostakovich is not a composer.,shostakovich,composer,composer,0,1,1,0,0,instances,1,0,0
Quechua is not a brain doctor.,quechua,brain doctor,community,1,1,1,0,0,instances,1,0,0
Barrie is not a meliorist.,barrie,meliorist,"dramatist, playwright",1,1,1,0,0,instances,0,0,1
Reiter is not a bacteriologist.,reiter,bacteriologist,bacteriologist,0,1,1,0,0,instances,1,0,0
Morton is not a jazz musician.,morton,jazz musician,"jazz musician, jazzman",0,1,1,0,0,instances,1,0,0
Schweitzer is not a physician.,schweitzer,physician,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",0,1,1,0,0,instances,1,0,0
Kline is a painter.,kline,painter,painter,1,0,1,0,0,instances,1,0,0
Sydenham is not a saint.,sydenham,saint,"doc, doctor, dr., md, medico, physician",1,1,1,0,0,instances,1,0,0
Seville is not a port.,seville,port,"metropolis, city, port, urban center",0,1,1,0,0,instances,1,0,0
Warsaw is a national capital.,warsaw,national capital,national capital,1,0,1,0,0,instances,1,0,0
Loyola is not a hierarch.,loyola,hierarch,"theologian, theologiser, theologist, theologizer, saint",1,1,1,0,0,instances,1,0,0
Cash is not an engineer.,cash,engineer,"vocalizer, vocalist, vocaliser, singer",1,1,1,0,0,instances,1,0,0
Dixieland is not a conspirator.,dixieland,conspirator,"geographic region, geographical area, geographical region, geographic area",1,1,1,0,0,instances,1,0,0
Debs is not an organiser.,debs,organiser,"labor organizer, organiser, organizer",0,1,1,0,0,instances,1,0,0
Thales is not a pianist.,thales,pianist,"astronomer, philosopher, stargazer, uranologist",1,1,1,0,0,instances,1,0,0
Owens is a diplomatist.,owens,diplomatist,"athlete, jock",0,0,1,0,0,instances,0,1,0
Lowlands is not a lowland.,lowlands,lowland,lowland,0,1,1,0,0,instances,0,1,0
Algiers is a national capital.,algiers,national capital,"national capital, port",1,0,1,0,0,instances,1,0,0
Gregory is not a roman catholic pope.,gregory,roman catholic pope,"pontiff, catholic pope, vicar of christ, pope, saint, doctor, bishop of rome, holy father, roman catholic pope, doctor of the church",0,1,1,0,0,instances,1,0,0
Bushnell is a discoverer.,bushnell,discoverer,"artificer, discoverer, inventor",1,0,1,0,0,instances,1,0,0
Joffrey is a sea robber.,joffrey,sea robber,choreographer,0,0,1,0,0,instances,0,1,0
Gagarin is not an astronaut.,gagarin,astronaut,"astronaut, cosmonaut, spaceman",0,1,1,0,0,instances,0,0,1
Oldfield is not a race driver.,oldfield,race driver,"automobile driver, race driver, racer",0,1,1,0,0,instances,1,0,0
Aquinas is not a theologian.,aquinas,theologian,"theologizer, saint, theologian, doctor, doctor of the church, theologiser, theologist",0,1,1,0,0,instances,1,0,0
Sydenham is not a navigator.,sydenham,navigator,"doc, doctor, dr., md, medico, physician",1,1,1,0,0,instances,1,0,0
Thales is not a lord.,thales,lord,"astronomer, philosopher, stargazer, uranologist",1,1,1,0,0,instances,1,0,0
Spock is not a double star.,spock,double star,"baby doctor, paediatrician, pediatrician, pediatrist",1,1,1,0,0,instances,1,0,0
Obama is not a playwright.,obama,playwright,"chief executive, president, president of the united states, united states president",1,1,1,0,0,instances,0,0,1
Schweitzer is a md.,schweitzer,md,"doc, doctor, dr., md, medico, missionary, missioner, organist, philosopher, physician",1,0,1,0,0,instances,1,0,0
Rigel is not a double star.,rigel,double star,"binary, binary star, double star",0,1,1,0,0,instances,0,1,0
Meyerbeer is a promoter.,meyerbeer,promoter,composer,0,0,1,0,0,instances,0,1,0
Jolson is not a singer.,jolson,singer,"actor, histrion, player, role player, singer, thespian, vocaliser, vocalist, vocalizer",0,1,1,0,0,instances,1,0,0
Johnson is not a lexicographer.,johnson,lexicographer,"writer, lexicographer, lexicologist, author",0,1,1,0,0,instances,0,1,0
