statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Rottlener is an appenose.,rottlener,appenose,"vistwad, elmodic",0,0,0,1,0,instances,0,0,1
Gillus is not a mourichidity.,gillus,mourichidity,"bruplethnol, empin",0,1,0,1,0,instances,0,1,0
Argings is a sportment.,argings,sportment,"hous worker, appenose",0,0,0,1,0,instances,1,0,0
Boxersion is a religullet.,boxersion,religullet,"mentratist, protruce",0,0,0,1,0,instances,0,1,0
Colokai is not an offrontion.,colokai,offrontion,"sumpless, anternet",0,1,0,1,0,instances,0,1,0
Cann is a honomine.,cann,honomine,"maidence, temicathesian",0,0,0,1,0,instances,1,0,0
Ampbelmono is not a foreworm.,ampbelmono,foreworm,"noisine, coched",0,1,0,1,0,instances,0,0,1
Gradeross is not a racoat.,gradeross,racoat,"nuation, racoat",0,1,0,1,0,instances,0,0,1
Aurian is not a negalaper.,aurian,negalaper,"negalaper, calied",0,1,0,1,0,instances,1,0,0
Moundum is not an elmonidivior.,moundum,elmonidivior,"hobbergee, wastelland",0,1,0,1,0,instances,0,0,1
Fatsmanna is a prepuble.,fatsmanna,prepuble,"amorak, priva",0,0,0,1,0,instances,0,0,1
Brelism is not a clard.,brelism,clard,"belmwood, puericalia",0,1,0,1,0,instances,0,1,0
Progenican is not a cartoum.,progenican,cartoum,"storian, playsion",0,1,0,1,0,instances,1,0,0
Compoverose is not a slower.,compoverose,slower,"rooviewer, skulduggermer",0,1,0,1,0,instances,0,1,0
Reding is not a noisine.,reding,noisine,"noisine, boweapok",0,1,0,1,0,instances,0,1,0
Abelmonours is not a caligionary.,abelmonours,caligionary,"crusadness, madonaliser",0,1,0,1,0,instances,1,0,0
Dizativena is a propher.,dizativena,propher,"diomyosauter, propher",0,0,0,1,0,instances,0,1,0
Koperier is a lantate.,koperier,lantate,"aquination, lantate",0,0,0,1,0,instances,1,0,0
Middeness is bewis.,middeness,bewis,"tegucigate, pariotist",0,0,0,1,0,instances,1,0,0
Brocese is a skyschmarole.,brocese,skyschmarole,"undenessness, lithug",0,0,0,1,0,instances,0,0,1
Rosisticle is a nanslator.,rosisticle,nanslator,"enging, ilkwooser",0,0,0,1,0,instances,0,1,0
Djibwa is a silkwoosh.,djibwa,silkwoosh,"silkwoosh, pathwayman",0,0,0,1,0,instances,1,0,0
Pichenko is not a rumorrism.,pichenko,rumorrism,"erender, optysonater",0,1,0,1,0,instances,1,0,0
Housney is not an aircator.,housney,aircator,"aircator, compula",0,1,0,1,0,instances,0,1,0
Maracao is not a disalva.,maracao,disalva,"aracase, preteness",0,1,0,1,0,instances,1,0,0
Stutte is not a filmeno.,stutte,filmeno,"mationist, prunders",0,1,0,1,0,instances,1,0,0
Balla is a subverez.,balla,subverez,"ballo, subverez",0,0,0,1,0,instances,0,1,0
Comfitte is not an infriger.,comfitte,infriger,"inuring, poperoom",0,1,0,1,0,instances,0,1,0
Chailroadiom is a solfera.,chailroadiom,solfera,"solfera, rastomation",0,0,0,1,0,instances,1,0,0
Majama is not a djibwa.,majama,djibwa,"djibwa, lawren",0,1,0,1,0,instances,1,0,0
Gement is a robbliceberk.,gement,robbliceberk,"robbliceberk, sucrome",0,0,0,1,0,instances,0,1,0
Chanukkah is not a sprin.,chanukkah,sprin,"sprin, prosepipe",0,1,0,1,0,instances,1,0,0
Proppoinia is not an aircator.,proppoinia,aircator,"qadductor, aircator",0,1,0,1,0,instances,1,0,0
Conflosis is prunders.,conflosis,prunders,"disittin, meyepilapist",0,0,0,1,0,instances,0,0,1
Vapon is not a pyjammee.,vapon,pyjammee,"desiddle, tringus",0,1,0,1,0,instances,0,0,1
Cochirrup is not a hijacking.,cochirrup,hijacking,"waisteringlionas, willowl",0,1,0,1,0,instances,0,1,0
Midazoler is not a romation.,midazoler,romation,"romation, tayloram",0,1,0,1,0,instances,0,1,0
Licecreads is not an incubatte.,licecreads,incubatte,"compless, goutland",0,1,0,1,0,instances,1,0,0
Pogeness is a righting.,pogeness,righting,"righting, clard",0,0,0,1,0,instances,0,0,1
Chiatry is an anist.,chiatry,anist,"ploma, accust",0,0,0,1,0,instances,0,0,1
Inurizer is a palaxon.,inurizer,palaxon,"puglior, jazzman nation",0,0,0,1,0,instances,0,0,1
Cyborak is an ania.,cyborak,ania,"diomyosauter, repairbalk",0,0,0,1,0,instances,1,0,0
Summercheanolames is not a hemoglobi.,summercheanolames,hemoglobi,"breakine, inuation",0,1,0,1,0,instances,0,1,0
Catterman is a caligionary.,catterman,caligionary,"gunce, solfera",0,0,0,1,0,instances,0,1,0
Intess is not a scein.,intess,scein,"unist, aracase",0,1,0,1,0,instances,1,0,0
Duncian is a therman.,duncian,therman,"spectnes, adverarcharal americk",0,0,0,1,0,instances,0,1,0
Verder is a provoca.,verder,provoca,"ful, procese",0,0,0,1,0,instances,0,0,1
Girarian is a statione.,girarian,statione,"femaid, statione",0,0,0,1,0,instances,1,0,0
Kharter is a berge.,kharter,berge,"berge, potein",0,0,0,1,0,instances,0,0,1
Semibrelie is not a hologuerion.,semibrelie,hologuerion,"hologuerion, storian",0,1,0,1,0,instances,1,0,0
Oedemore is not an afring.,oedemore,afring,"protruce, apok",0,1,0,1,0,instances,1,0,0
Sconter is not a deuter.,sconter,deuter,"pathwayman, gliatrione",0,1,0,1,0,instances,1,0,0
Candonalist is not an aracase.,candonalist,aracase,"galist, inds",0,1,0,1,0,instances,1,0,0
Conney is a chandy.,conney,chandy,"sebranger, capitock",0,0,0,1,0,instances,1,0,0
Paviliatriophent is not lotapis.,paviliatriophent,lotapis,"trahyde, lotapis",0,1,0,1,0,instances,1,0,0
Syde is a brovnik.,syde,brovnik,"hijacking, blowser",0,0,0,1,0,instances,0,0,1
Paralit is an acred scier.,paralit,acred scier,"acred scier, femalademasjid",0,0,0,1,0,instances,1,0,0
Midana is not a strigeretiden.,midana,strigeretiden,"provicecrash, strigeretiden",0,1,0,1,0,instances,0,1,0
Prescabi is an emberer.,prescabi,emberer,"enuhindlasse, procese",0,0,0,1,0,instances,0,1,0
Salmonist is a deuter.,salmonist,deuter,"stailhead, deuter",0,0,0,1,0,instances,0,0,1
Rocaniac is not an ojibout.,rocaniac,ojibout,"lifterpetree, ojibout",0,1,0,1,0,instances,0,1,0
Crusion is not a lifying.,crusion,lifying,"moreaking, willowl",0,1,0,1,0,instances,0,0,1
Watchelish is a sueden.,watchelish,sueden,"brover, sueden",0,0,0,1,0,instances,1,0,0
Fantelle is not a wrenze.,fantelle,wrenze,"lity, dudgeworker",0,1,0,1,0,instances,0,1,0
Goalief is not a diomyosauter.,goalief,diomyosauter,"shirrup, leadema",0,1,0,1,0,instances,1,0,0
Lifell is a veilitting.,lifell,veilitting,"oble, paedingus",0,0,0,1,0,instances,0,0,1
Posity is a hemission.,posity,hemission,"hemission, scuddings",0,0,0,1,0,instances,1,0,0
Dairency is a roommonist.,dairency,roommonist,"aracase, roommonist",0,0,0,1,0,instances,1,0,0
Chiat is not tringus.,chiat,tringus,"compleness, tringus",0,1,0,1,0,instances,0,1,0
Sity is a livilia.,sity,livilia,"pompling, sixpacemeno",0,0,0,1,0,instances,1,0,0
Buckrainia is an anologizer.,buckrainia,anologizer,"dancian, anologizer",0,0,0,1,0,instances,0,0,1
Depiland is a jolsher.,depiland,jolsher,"fluoreticist, jolsher",0,0,0,1,0,instances,1,0,0
Chanukkah is not a prosepipe.,chanukkah,prosepipe,"sprin, prosepipe",0,1,0,1,0,instances,1,0,0
Gliobline is a protto.,gliobline,protto,"protto, infriger",0,0,0,1,0,instances,1,0,0
Brittine is a lazinet.,brittine,lazinet,"lazinet, schmoony",0,0,0,1,0,instances,0,1,0
Arthaystal is not a lowense.,arthaystal,lowense,"lowense, hologiser",0,1,0,1,0,instances,1,0,0
Culism is an advision.,culism,advision,"madonaliser, advision",0,0,0,1,0,instances,1,0,0
Refuelation is a playscrastent.,refuelation,playscrastent,"seacowriter, driva",0,0,0,1,0,instances,1,0,0
Swoodwork is a rin.,swoodwork,rin,"cuminist, missimoving",0,0,0,1,0,instances,1,0,0
Embleties is not a mounker.,embleties,mounker,"scein, accorpus",0,1,0,1,0,instances,0,1,0
Demasjid is not a gunce.,demasjid,gunce,"commentist, gunce",0,1,0,1,0,instances,0,1,0
Deposy is not a goldfiel.,deposy,goldfiel,"haraest, goldfiel",0,1,0,1,0,instances,1,0,0
Thayschwe is not a prottlee.,thayschwe,prottlee,"goodmas, rin",0,1,0,1,0,instances,0,1,0
Commatthes is not an inculcatholing.,commatthes,inculcatholing,"stariality, inculcatholing",0,1,0,1,0,instances,0,1,0
Stutte is not a mationist.,stutte,mationist,"mationist, prunders",0,1,0,1,0,instances,1,0,0
Dudgework is a prel.,dudgework,prel,"clard, prel",0,0,0,1,0,instances,1,0,0
Prostop is a hief.,prostop,hief,"homerina, tysicher",0,0,0,1,0,instances,0,0,1
Spriness is a debravertoney.,spriness,debravertoney,"debravertoney, ful",0,0,0,1,0,instances,1,0,0
Brover is not foreadeer.,brover,foreadeer,"buccanist, puericalia",0,1,0,1,0,instances,1,0,0
Abberg is not a schnaborator.,abberg,schnaborator,"defacter, chasizinet",0,1,0,1,0,instances,0,1,0
Zhoughtlee is not a widgeograd.,zhoughtlee,widgeograd,"trainebrigion, alligrapp",0,1,0,1,0,instances,1,0,0
Haggaring is not lotapis.,haggaring,lotapis,"harattany, rosity",0,1,0,1,0,instances,1,0,0
Punizer is not a babysity.,punizer,babysity,"babysity, goutland",0,1,0,1,0,instances,0,1,0
Hemoise is a porkine.,hemoise,porkine,"porkine, galist",0,0,0,1,0,instances,0,0,1
Tarsion is a europper.,tarsion,europper,"mayfulness, maidser",0,0,0,1,0,instances,1,0,0
Argings is not hous worker.,argings,hous worker,"hous worker, appenose",0,1,0,1,0,instances,1,0,0
Diage is not a formera.,diage,formera,"formera, fleship",0,1,0,1,0,instances,1,0,0
Waisation is not a chier.,waisation,chier,"chier, vist",0,1,0,1,0,instances,0,1,0
Plainsing is not a lazquel.,plainsing,lazquel,"farrietics, lazquel",0,1,0,1,0,instances,1,0,0
Icebee is a vaposer.,icebee,vaposer,"vaposer, dronenet",0,0,0,1,0,instances,0,1,0
Infrigery is not an emield.,infrigery,emield,"emield, negalaper",0,1,0,1,0,instances,0,0,1
Milicence is scuddiness.,milicence,scuddiness,"scuddings, brover",0,0,0,1,0,instances,1,0,0
Schloration is a happer.,schloration,happer,"happer, baldrivan",0,0,0,1,0,instances,1,0,0
Diodeston is a nobline.,diodeston,nobline,"cring, inuring",0,0,0,1,0,instances,0,1,0
Anch is a seahorsoil.,anch,seahorsoil,"jutany, dologist",0,0,0,1,0,instances,0,0,1
Pillness is not a dext.,pillness,dext,"dext, unist",0,1,0,1,0,instances,1,0,0
Expackey is not a biship.,expackey,biship,"popecidity, adverdion",0,1,0,1,0,instances,0,1,0
Madre is not a barriest.,madre,barriest,"barriest, puscle",0,1,0,1,0,instances,0,0,1
Mercoat is not a femating.,mercoat,femating,"femating, walting",0,1,0,1,0,instances,0,1,0
Homsky is a negalaper.,homsky,negalaper,"negalaper, afrinestructor",0,0,0,1,0,instances,0,0,1
Signosuper is a wifelevist.,signosuper,wifelevist,"wifelevist, rhode",0,0,0,1,0,instances,0,0,1
Forepi is not griptysis.,forepi,griptysis,"kapoler, educania",0,1,0,1,0,instances,0,1,0
Listend is a debravertoney.,listend,debravertoney,"lechmarkov, debravertoney",0,0,0,1,0,instances,0,0,1
Genesent is mayfulness.,genesent,mayfulness,"mayfulness, banzo",0,0,0,1,0,instances,1,0,0
Aspendity is not a bruplethnol.,aspendity,bruplethnol,"spershirt, bruplethnol",0,1,0,1,0,instances,0,0,1
Resthenko is not a repairbalk.,resthenko,repairbalk,"repairbalk, amblessman",0,1,0,1,0,instances,0,0,1
Gilment is not a diatrole.,gilment,diatrole,"rineptness, frenderching",0,1,0,1,0,instances,1,0,0
Novertz is not a dissin.,novertz,dissin,"signery, dissin",0,1,0,1,0,instances,1,0,0
Puglion is not an ince.,puglion,ince,"incoagua, painitor",0,1,0,1,0,instances,0,1,0
Ternamelevy is not a rocco.,ternamelevy,rocco,"archicander, rocco",0,1,0,1,0,instances,0,0,1
Mastets is not a lazinet.,mastets,lazinet,"lazinet, blackets",0,1,0,1,0,instances,1,0,0
Illarie is a the unizer.,illarie,the unizer,"nonidity, the unizer",0,0,0,1,0,instances,1,0,0
Aponder is a statee.,aponder,statee,"solferez, sacrobiling",0,0,0,1,0,instances,1,0,0
Congdoer is a meyeglading.,congdoer,meyeglading,"offrontion, meyeglading",0,0,0,1,0,instances,1,0,0
Aurian is a brover.,aurian,brover,"negalaper, calied",0,0,0,1,0,instances,1,0,0
Adageolet is not an optyling.,adageolet,optyling,"optyling, offrontion",0,1,0,1,0,instances,0,1,0
Compling is not a widgeograd.,compling,widgeograd,"widgeograd, desiddle",0,1,0,1,0,instances,1,0,0
Foyevsky is not a fulmargy.,foyevsky,fulmargy,"bactor, fulmargy",0,1,0,1,0,instances,1,0,0
Albatson is a dationery.,albatson,dationery,"catte, mileome",0,0,0,1,0,instances,1,0,0
Blackfruity is a leadema.,blackfruity,leadema,"leadema, muhammark",0,0,0,1,0,instances,0,0,1
Wriety is a righting.,wriety,righting,"righting, maidser",0,0,0,1,0,instances,1,0,0
Scompless is not joholis.,scompless,joholis,"siro, viegotypeface drich",0,1,0,1,0,instances,0,1,0
Mujahed is not a softre.,mujahed,softre,"softre, jutany",0,1,0,1,0,instances,1,0,0
Brevella is a kapoler.,brevella,kapoler,"hassing, cochithy",0,0,0,1,0,instances,1,0,0
Fluorebrain is not an erer.,fluorebrain,erer,"erer, erarchping",0,1,0,1,0,instances,0,1,0
Monister is not a mudsking.,monister,mudsking,"potapense, thronster",0,1,0,1,0,instances,1,0,0
Fatsmanna is not a priva.,fatsmanna,priva,"amorak, priva",0,1,0,1,0,instances,0,0,1
Crastola is not a palpa.,crastola,palpa,"danation, appenose",0,1,0,1,0,instances,0,0,1
Critting is an astell.,critting,astell,"astell, dutchbanks",0,0,0,1,0,instances,0,1,0
Sightle is not a mourmetron.,sightle,mourmetron,"bacceptness, cal batso",0,1,0,1,0,instances,0,1,0
Shreeson is not a lantate.,shreeson,lantate,"hilosital, choops",0,1,0,1,0,instances,1,0,0
Wahabdomontpeltine is not a goalitrate.,wahabdomontpeltine,goalitrate,"goalitrate, anologizer",0,1,0,1,0,instances,1,0,0
Stelapse is not a goldber.,stelapse,goldber,"philoh, learship",0,1,0,1,0,instances,1,0,0
Emility is not a humorrhoid.,emility,humorrhoid,"acred scier, humorrhoid",0,1,0,1,0,instances,0,1,0
Geness is a silkwoosh.,geness,silkwoosh,"silkwoosh, formithug",0,0,0,1,0,instances,1,0,0
Cryption is a mothespock.,cryption,mothespock,"mothespock, mounker",0,0,0,1,0,instances,1,0,0
Cathesia is a siveway.,cathesia,siveway,"greenstel, hologiser",0,0,0,1,0,instances,1,0,0
Vation is not organings.,vation,organings,"babysity, slower",0,1,0,1,0,instances,0,0,1
Fantel is not a chan.,fantel,chan,"englading, goodmas",0,1,0,1,0,instances,0,1,0
Incrimba is not a pedic.,incrimba,pedic,"scalitting, solferez",0,1,0,1,0,instances,0,0,1
Cas is not a shirrup.,cas,shirrup,"bambler, bactor",0,1,0,1,0,instances,0,0,1
Handansivet is a bellowry.,handansivet,bellowry,"foxtain, learship",0,0,0,1,0,instances,0,0,1
Veness is a stroom.,veness,stroom,"pathwayman, stroom",0,0,0,1,0,instances,0,1,0
Bugglion is not an assement.,bugglion,assement,"assement, dudgeworker",0,1,0,1,0,instances,1,0,0
Kleing is a hilosital.,kleing,hilosital,"sueden, prash",0,0,0,1,0,instances,1,0,0
Nigglion is an elmodic.,nigglion,elmodic,"organi, mility",0,0,0,1,0,instances,0,1,0
Sympatsman is not an obler.,sympatsman,obler,"hapes, stailhead",0,1,0,1,0,instances,0,0,1
Robberg is not a showcashowcase.,robberg,showcashowcase,"desthes player, showcashowcase",0,1,0,1,0,instances,1,0,0
Cashnap is not a dronenet.,cashnap,dronenet,"scarname, pedibitrary",0,1,0,1,0,instances,1,0,0
Yardiomy is a preat.,yardiomy,preat,"classant, puscle",0,0,0,1,0,instances,0,1,0
Myeling is not bewis.,myeling,bewis,"wrenze, civerbox",0,1,0,1,0,instances,0,1,0
Quadrician is not a rin.,quadrician,rin,"conome, hijacking",0,1,0,1,0,instances,1,0,0
Glite is a reling.,glite,reling,"groopend, relaps",0,0,0,1,0,instances,1,0,0
Spendian is not a lockboat.,spendian,lockboat,"coathes, sheville",0,1,0,1,0,instances,0,1,0
Plyerbox is an owland.,plyerbox,owland,"ballonishment, anist",0,0,0,1,0,instances,1,0,0
Thronsivant is not an ania.,thronsivant,ania,"joholine, farrimerg",0,1,0,1,0,instances,1,0,0
Excitan is not an amentive.,excitan,amentive,"hemicard, amentive",0,1,0,1,0,instances,1,0,0
Descudding is not a foreity.,descudding,foreity,"popecidity, prepuble",0,1,0,1,0,instances,1,0,0
Tumbrea is a conterin.,tumbrea,conterin,"insis, conterin",0,0,0,1,0,instances,1,0,0
Foyevsky is a fulmargy.,foyevsky,fulmargy,"bactor, fulmargy",0,0,0,1,0,instances,1,0,0
Trenze is a rumorrism.,trenze,rumorrism,"rumorrism, belist",0,0,0,1,0,instances,1,0,0
Forman is a rosity.,forman,rosity,"fluoreticist, enjoini",0,0,0,1,0,instances,1,0,0
Nearning is not a plandmotheat.,nearning,plandmotheat,"galist, seahorn",0,1,0,1,0,instances,0,1,0
Dietion is an amithua.,dietion,amithua,"paedifiel, crediator",0,0,0,1,0,instances,0,1,0
Pillness is a bellowry.,pillness,bellowry,"dext, unist",0,0,0,1,0,instances,1,0,0
Resthenko is a harkov.,resthenko,harkov,"repairbalk, amblessman",0,0,0,1,0,instances,0,0,1
Palainess is not a breakine.,palainess,breakine,"breakine, scein",0,1,0,1,0,instances,1,0,0
Dalepperg is not a meyeglading.,dalepperg,meyeglading,"oinity, willowl",0,1,0,1,0,instances,0,0,1
Mastets is not a balterna.,mastets,balterna,"lazinet, blackets",0,1,0,1,0,instances,1,0,0
Muggiste is not a cologist.,muggiste,cologist,"amorrhoid, ames",0,1,0,1,0,instances,1,0,0
Edware is a cring.,edware,cring,"cring, civitudence",0,0,0,1,0,instances,0,1,0
Brickink is not a harkov.,brickink,harkov,"blackets, inculcatholing",0,1,0,1,0,instances,0,0,1
Aspendity is not an obambarkov.,aspendity,obambarkov,"spershirt, bruplethnol",0,1,0,1,0,instances,0,0,1
Palainess is not a seachiasizinetion.,palainess,seachiasizinetion,"breakine, scein",0,1,0,1,0,instances,1,0,0
Ricist is not rineptness.,ricist,rineptness,"the unizer, rineptness",0,1,0,1,0,instances,1,0,0
Spher is a jolshereat.,spher,jolshereat,"turmericarteria, jolshereat",0,0,0,1,0,instances,1,0,0
Mousecutor is not roops.,mousecutor,roops,"pecient, offrontion",0,1,0,1,0,instances,1,0,0
Egoer is a blowser.,egoer,blowser,"calist, diredontiff",0,0,0,1,0,instances,1,0,0
Flation is not a hemoption.,flation,hemoption,"raventry, hemoption",0,1,0,1,0,instances,0,1,0
Merclackins is a brigion.,merclackins,brigion,"tubfulmark, brigion",0,0,0,1,0,instances,0,1,0
Plainsing is a lazquel.,plainsing,lazquel,"farrietics, lazquel",0,0,0,1,0,instances,1,0,0
Oaxacas is not a righting.,oaxacas,righting,"righting, nearium",0,1,0,1,0,instances,0,0,1
Descency is not a bactoring.,descency,bactoring,"nearium, quination",0,1,0,1,0,instances,0,1,0
Bamblets is an appolity.,bamblets,appolity,"autor, athespocker",0,0,0,1,0,instances,0,0,1
Muhamma is an erender.,muhamma,erender,"erender, slobilia",0,0,0,1,0,instances,1,0,0
Chiat is a cochithy.,chiat,cochithy,"compleness, tringus",0,0,0,1,0,instances,1,0,0
Liban is not a geling.,liban,geling,"cologent, geling",0,1,0,1,0,instances,1,0,0
Flage is not a dubridol.,flage,dubridol,"dubridol, femalademasjid",0,1,0,1,0,instances,1,0,0
